Service,Average Price (€)
Poster Design,150
Brochure Design,400
Catalogue Design,800
Leaflet Design,100
Presentation Design,300
Whitepaper Creation,500
Infographic Design,250
Office Wall Design,1200
Website Banner Design,250
Social Media Graphics,200
Translation (<5 pages),100
Translation (5–10 pages),180
Translation (10–20 pages),350
Translation (20–50 pages),800
Translation (>50 pages),1500
Website Event Registration Webpage,600
Event Registration Handling,400
Webpage Link for Campaign,300
Video Production (<1 minute),800
Video Production (>1 minute),1500
Cost of One Lead Generated,50
Specific PR Need,1000
Market Research Report,2000
Brand Guidelines Creation,1500
VR Experience (1-day),2000
Event Support (on-site branding),1200
Event Support (digital assets),800
Webinar Setup & Promotion,1000
Trade Show Booth Design,2500
